title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Demonstrating CropFollow++: Robust Under-Canopy Navigation with Keypoints,Arun Narenthiran Sivakumar; Mateus Valverde Gasparino; Michael McGuire; Vitor Akihiro Hisano Higuti; M. Ugur Akcal; Girish Chowdhary,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p023.pdf,,Открыто
SEEK: Semantic Reasoning for Object Goal Navigation in Real World Inspection Tasks,Muhammad Fadhil Ginting; Sung-Kyun Kim; David Fan; Matteo Palieri; Mykel Kochenderfer; Ali-akbar Agha-mohammadi,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p024.pdf,,Открыто
Yell At Your Robot: Improving On-the-Fly from Language Corrections,Lucy Xiaoyang Shi; Zheyuan Hu; Tony Z. Zhao; Archit Sharma; Karl Pertsch; Jianlan Luo; Sergey Levine; Chelsea Finn,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p025.pdf,,Открыто
Task Adaptation in Industrial Human-Robot Interaction: Leveraging Riemannian Motion Policies,Mike Allenspach; Michael Pantic; Rik Girod; Lionel Ott; Roland Siegwart,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p026.pdf,,Открыто
Risk-Calibrated Human-Robot Interaction via Set-Valued Intent Prediction,Justin Lidard; Hang Pham; Ariel Bachman; Bryan Boateng; Anirudha Majumdar,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p027.pdf,,Открыто
Constraint-Aware Intent Estimation for Dynamic Human-Robot Object Co-Manipulation,Yifei Simon Shao; Tianyu Li; Shafagh Keyvanian; Pratik Chaudhari; Vijay Kumar; Nadia Figueroa,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p028.pdf,,Открыто
Demonstrating HumanTHOR: A Simulation Platform and Benchmark for Human-Robot Collaboration in a Shared Workspace,Chenxu Wang; Boyuan Du; Jiaxin Xu; Huaping Liu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p029.pdf,,Открыто
Developing Design Guidelines for Older Adults with Robot Learning from Demonstration,Erin Hedlund-Botti; Lakshmi Seelam; Chuxuan Yang; Nathaniel Belles; Zulfiqar Haider Zaidi; Matthew Gombolay,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p030.pdf,,Открыто
FLAIR: Feeding via Long-Horizon AcquIsition of Realistic dishes,Rajat Kumar Jenamani; Priya Sundaresan; Maram Sakr; Tapomayukh Bhattacharjee; Dorsa Sadigh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p031.pdf,,Открыто
The Benefits of Sound Resound: An In-Person Replication of the Ability of Character-Like Robot Sound to Improve Perceived Social Warmth,Nnamdi Nwagwu; Adeline Schneider; Ibrahim Syed; Brian J. Zhang; Naomi T. Fitter,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p032.pdf,,Открыто
Leveraging Large Language Model for Heterogeneous Ad Hoc Teamwork Collaboration,Xinzhu Liu; Peiyan Li; Wenju Yang; Di Guo; Huaping Liu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p033.pdf,,Открыто
INTERPRET: Interactive Predicate Learning from Language Feedback for Generalizable Task Planning,Muzhi Han; Yifeng Zhu; Song-Chun Zhu; Ying Nian Wu; Yuke Zhu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p034.pdf,,Открыто
Safe Planning for Articulated Robots Using Reachability-based Obstacle Avoidance With Spheres,Jonathan Michaux; Adam Li; Qingyi Chen; Che Chen; Ram Vasudevan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p035.pdf,,Открыто
Motion Planning in Foliated Manifolds using Repetition Roadmap,Jiaming Hu; Shrutheesh Raman Iyer; Jiawei Wang; Henrik I Christensen,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p036.pdf,,Открыто
Language-Augmented Symbolic Planner for Open-World Task Planning,Guanqi Chen; Lei Yang; Ruixing Jia; Zhe Hu; Yizhou Chen; Wei Zhang; Wenping Wang; Jia Pan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p037.pdf,,Открыто
Collision-Affording Point Trees: SIMD-Amenable Nearest Neighbors for Fast Motion Planning with Pointclouds,Clayton Ramsey; Zachary Kingston; Wil Thomason; Lydia E Kavraki,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p038.pdf,,Открыто
Homotopic Path Set Planning for Robot Manipulation and Navigation,Jing Huang,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p039.pdf,,Открыто
Practice Makes Perfect: Planning to Learning Skill Parameter Policies,Nishanth Kumar; Tom Silver; Willie McClinton; Linfeng Zhao; Stephen Proulx; TomÃ¡s Lozano-PÃ©rez; Leslie Pack Kaelbling; Jennifer L. Barry,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p040.pdf,,Открыто
World Models for General Surgical Grasping,Hongbin Lin,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p041.pdf,,Открыто
SpringGrasp: Synthesizing Compliant; Dexterous Grasps under Shape Uncertainty,Sirui Chen; Jeannette Bohg; Karen Liu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p042.pdf,,Открыто
DexCap: Scalable and Portable Mocap Data Collection System for Dexterous Manipulation,Chen Wang; Haochen Shi; Weizhuo Wang; Ruohan Zhang; Li Fei-Fei; Karen Liu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p043.pdf,,Открыто
GRaCE: Balancing Multiple Criteria to Achieve Stable; Collision-Free; and Functional Grasps,Tasbolat Taunyazov; Kelvin Lin; Harold Soh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p044.pdf,,Открыто
Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,Cheng Chi; Zhenjia Xu; Chuer Pan; Eric Cousineau; Benjamin Burchfiel; Siyuan Feng; Russ Tedrake; Shuran Song,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p045.pdf,,Открыто
Learning Any-View 6DoF Robotic Grasping in Cluttered Scenes via Neural Surface Rendering,Snehal Jauhri; Ishikaa Lunawat; Georgia Chalvatzaki,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p046.pdf,,Открыто
Demonstrating Adaptive Mobile Manipulation in Retail Environments,Max Spahn; Corrado Pezzato; Chadi Salmi; Rick Dekker; Cong Wang; Christian Pek; Jens Kober; Javier Alonso-Mora; Carlos Hernandez Corbato; Martijn Wisse,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p047.pdf,,Открыто
Diffusion Meets DAgger: Supercharging Eye-in-hand Imitation Learning,Xiaoyu Zhang; Matthew Chang; Pranav Kumar; Saurabh Gupta,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p048.pdf,,Открыто
RT-H: Action Hierarchies using Language,Suneel Belkhale; Tianli Ding; Ted Xiao; Pierre Sermanet; Quan Vuong; Jonathan Tompson; Yevgen Chebotar; Debidatta Dwibedi; Dorsa Sadigh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p049.pdf,,Открыто
RoboCasa: Large-Scale Simulation of Household Tasks for Generalist Robots,Soroush Nasiriany; Abhiram Maddukuri; Lance Zhang; Adeet Parikh; Aaron Lo; Abhishek Joshi; Ajay Mandlekar; Yuke Zhu,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p050.pdf,,Открыто
Render and Diffuse: Aligning Image and Action Spaces for Diffusion-based Behaviour Cloning,Vitalis Vosylius; Younggyo Seo; Jafar UruÃ§; Stephen James,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p051.pdf,,Открыто
