title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,abstract
Learning 3D Dynamic Scene Representations for Robot Manipulation,Zhenjia Xu; Zhanpeng He; Jiajun Wu; Shuran Song,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xu21b/xu21b.pdf,,Открыто,3D scene representation for robot manipulation should capture three key object properties: permanency - objects that become occluded over time continue to exist; amodal completeness - objects have 3D occupancy; even if only partial observations are available; spatiotemporal continuity - the movement of each object is continuous over space and time. In this paper; we introduce 3D Dynamic Scene Representation (DSR); a 3D volumetric scene representation that simultaneously discovers; tracks; reconstructs objects; and predicts their dynamics while capturing all three properties. We further propose DSR-Net; which learns to aggregate visual observations over multiple interactions to gradually build and refine DSR. Our model achieves state-of-the-art performance in modeling 3D scene dynamics with DSR on both simulated and real data. Combined with model predictive control; DSR-Net enables accurate planning in downstream robotic manipulation tasks such as planar pushing. Code and data are available at dsr-net.cs.columbia.edu.
CoT-AMFlow: Adaptive Modulation Network with Co-Teaching Strategy for Unsupervised Optical Flow Estimation,Hengli Wang; Rui Fan; Ming Liu,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21a/wang21a.pdf,,Открыто,The interpretation of ego motion and scene change is a fundamental task for mobile robots. Optical flow information can be employed to estimate motion in the surroundings. Recently; unsupervised optical flow estimation has become a research hotspot.  However; unsupervised approaches are often easy to be unreliable on partially occluded or texture-less regions. To deal with this problem; we propose CoT-AMFlow in this paper; an unsupervised optical flow estimation approach. In terms of the network architecture; we develop an adaptive modulation network that employs two novel module types; flow modulation modules (FMMs) and cost volume modulation modules (CMMs); to remove outliers in challenging regions. As for the training paradigm; we adopt a co-teaching strategy; where two networks simultaneously teach each other about challenging regions to further improve accuracy. Experimental results on the MPI Sintel; KITTI Flow and Middlebury Flow benchmarks demonstrate that our CoT-AMFlow outperforms all other state-of-the-art unsupervised approaches; while still running in real time. Our project page is available at https://sites.google.com/view/cot-amflow.
SAM: Squeeze-and-Mimic Networks for Conditional Visual Driving Policy Learning,Albert Zhao; Tong He; Yitao Liang; Haibin Huang; Guy Van den Broeck; Stefano Soatto,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhao21a/zhao21a.pdf,,Открыто,We describe a policy learning approach to map visual inputs to driving controls conditioned on turning command that leverages side tasks on semantics and object affordances via a learned representation trained for driving. To learn this representation; we train a squeeze network to drive using annotations for the side task as input. This representation encodes the driving-relevant information associated with the side task while ideally throwing out side task-relevant but driving-irrelevant nuisances. We then train a mimic network to drive using only images as input and use the squeeze network’s latent representation to supervise the mimic network via a mimicking loss. Notably; we do not aim to achieve the side task nor to learn features for it; instead; we aim to learn; via the mimicking loss; a representation of the side task annotations directly useful for driving. We test our approach using the CARLA simulator. In addition; we introduce a more challenging but realistic evaluation protocol that considers a run that reaches the destination successful only if it does not violate common traffic rules.
Fit2Form: 3D Generative Model for Robot Gripper Form Design,Huy Ha; Shubham Agrawal; Shuran Song,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ha21b/ha21b.pdf,,Открыто,The 3D shape of a robot’s end-effector plays a critical role in determining it’s functionality and overall performance. Many of today’s industrial applications rely on highly customized gripper design for a given task to ensure the system’s robustness and accuracy.  However; the process of manual hardware design is both costly and time-consuming; and the quality of the design is also dependent on the engineer’s experience and domain expertise; which can easily be out-dated or inaccurate.  The goal of this paper is to use machine learning algorithms to automate this design process and generate task-specific gripper designs that satisfy a set of pre-defined design objectives. We model the design objectives by training a Fitness network to predict their values for a pair of gripper fingers and a grasp object. This Fitness network is then used to provide training supervision to a 3D Generative network that produces a pair of 3D finger geometries for the target grasp object. Our experiments demonstrate that the proposed 3D generative design framework generates parallel jaw gripper finger shapes that achieve more stable and robust grasps as compared to other general-purpose and task-specific gripper design algorithms.
Accelerating Reinforcement Learning with Learned Skill Priors,Karl Pertsch; Youngwoon Lee; Joseph Lim,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/pertsch21a/pertsch21a.pdf,,Открыто,Intelligent agents rely heavily on prior experience when learning a new task; yet most modern reinforcement learning (RL) approaches learn every task from scratch. One approach for leveraging prior knowledge is to transfer skills learned on prior tasks to the new task. However; as the amount of prior experience increases; the number of transferable skills grows too; making it challenging to explore the full set of available skills during downstream learning. Yet; intuitively; not all skills should be explored with equal probability; for example information about the current state can hint which skills are promising to explore. In this work; we propose to implement this intuition by learning a prior over skills. We propose a deep latent variable model that jointly learns an embedding space of skills and the skill prior from offline agent experience. We then extend common maximum-entropy RL approaches to use skill priors to guide downstream learning. We validate our approach; SPiRL (Skill-Prior RL); on complex navigation and robotic manipulation tasks and show that learned skill priors are essential for effective skill transfer from rich datasets. Videos and code are available at https://clvrai.com/spirl.
Positive-Unlabeled Reward Learning,Danfei Xu; Misha Denil,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xu21c/xu21c.pdf,,Открыто,Learning reward functions from data is a promising path towards achieving scalable Reinforcement Learning (RL) for robotics. However; a major challenge in training agents from learned reward models is that the agent can learn to exploit errors in the reward model to achieve high reward behaviors that do not correspond to the intended task. These reward delusions can lead to unintended and even dangerous behaviors. On the other hand; adversarial imitation learning frameworks (Ho et al.; 2016) tend to suffer the opposite problem; where the discriminator learns to trivially distinguish agent and expert behavior; resulting in reward models that produce low reward signal regardless of the input state. In this paper; we connect these two classes of reward learning methods to positive-unlabeled (PU) learning; and show that by applying a large-scale PU learning algorithm to the reward learning problem; we can address both the reward under- and over-estimation problems simultaneously. Our approach drastically improves both GAIL and supervised reward learning; without any additional assumptions.
GDN: A Coarse-To-Fine (C2F) Representation for End-To-End 6-DoF Grasp Detection,Kuang-Yu Jeng; Yueh-Cheng Liu; Zhe Yu Liu; Jen-Wei Wang; Ya-Liang Chang; Hung-Ting Su; Winston Hsu,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jeng21a/jeng21a.pdf,,Открыто,We proposed an end-to-end grasp detection network;  Grasp Detection Network (GDN); cooperated with a novel coarse-to-fine (C2F) grasp representation design to detect diverse and accurate 6-DoF grasps based on point clouds.   Compared to previous two-stage approaches which sample and evaluate multiple grasp candidates; our architecture is at least 20 times faster.  It is also 8% and 40% more accurate in terms of the success rate in single object scenes and the complete rate in clutter scenes; respectively. Our method shows superior results among settings with different number of views and input points.  Moreover; we propose a new AP-based metric which considers both rotation and transition errors; making it a more comprehensive evaluation tool for grasp detection models.
Action-based Representation Learning for Autonomous Driving,Yi Xiao; Felipe Codevilla; Christopher Pal; Antonio Lopez,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xiao21a/xiao21a.pdf,,Открыто,Human drivers produce a vast amount of data which could; in principle; be used to improve autonomous driving systems. Unfortunately; seemingly straightforward approaches for creating end-to-end driving models that map sensor data directly into driving actions are problematic in terms of interpretability; and typically have significant difficulty dealing with spurious correlations. Alternatively; we propose to use this kind of action-based driving data for learning representations. Our experiments show that an affordance-based driving model pre-trained with this approach can leverage a relatively small amount of weakly annotated imagery and outperform pure end-to-end driving models; while being more interpretable. Further; we demonstrate how this strategy outperforms previous methods based on learning inverse dynamics models as well as other methods based on heavy human supervision (ImageNet).
Task-Relevant Adversarial Imitation Learning,Konrad Zolna; Scott Reed; Alexander Novikov; Sergio Gómez Colmenarejo; David Budden; Serkan Cabi; Misha Denil; Nando de Freitas; Ziyu Wang,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zolna21a/zolna21a.pdf,,Открыто,We show that a critical vulnerability in adversarial imitation is the tendency of discriminator networks to learn spurious associations between visual features and expert labels. When the discriminator focuses on task-irrelevant features; it does not provide an informative reward signal; leading to poor task performance. We analyze this problem in detail and propose a solution that outperforms standard Generative Adversarial Imitation Learning (GAIL). Our proposed method; Task-Relevant Adversarial Imitation Learning (TRAIL); uses constrained discriminator optimization to learn informative rewards. In comprehensive experiments; we show that TRAIL can solve challenging robotic manipulation tasks from pixels by imitating human operators without access to any task rewards; and clearly outperforms comparable baseline imitation agents; including those trained via behaviour cloning and conventional GAIL.
SMARTS: An Open-Source Scalable Multi-Agent RL Training School for Autonomous Driving,Ming Zhou; Jun Luo; Julian Villella; Yaodong Yang; David Rusu; Jiayu Miao; Weinan Zhang; Montgomery Alban; IMAN FADAKAR; Zheng Chen; Chongxi Huang; Ying Wen; Kimia Hassanzadeh; Daniel Graves; Zhengbang Zhu; Yihan Ni; Nhat Nguyen; Mohamed Elsayed; Haitham Ammar; Alexander Cowen-Rivers; Sanjeevan Ahilan; Zheng Tian; Daniel Palenicek; Kasra Rezaee; Peyman Yadmellat; Kun Shao; dong chen; Baokuan Zhang; Hongbo Zhang; Jianye Hao; Wulong Liu; Jun Wang,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhou21a/zhou21a.pdf,,Открыто,Interaction is fundamental in autonomous driving (AD). Despite more than a decade of intensive R&D in AD; how to dynamically interact with diverse road users in various contexts still remains unsolved. Multi-agent learning has recently seen big breakthroughs and has much to offer towards solving realistic interaction in AD. However; to realize this potential we need multi-agent AD simulation of realistic interaction. To break this apparent chicken-and-egg circularity; we built an AD simulation platform called SMARTS (Scalable Multi-Agent Rl Training School); which is designed to accumulate behavior models of road users towards increasingly realistic and diverse interaction that in turn enables deeper and broader multi-agent research on interaction. In this paper; we describe the design goals of SMARTS; explain its key architectural ideas; illustrate its use for multi-agent research through experiments on concrete interaction scenarios; and introduce a set of benchmarks and metrics. As an open-source; industrial-strength platform; the future of SMARTS lies in its growth along with the multi-agent research it enables in the years to come.
