title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,abstract
Human-oriented Representation Learning for Robotic Manipulation,Mingxiao Huo; Mingyu Ding; Chenfeng Xu; Thomas Tian; Xinghao Zhu; Yao Mu; Lingfeng Sun; Masayoshi Tomizuka; Wei Zhan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p011.pdf,,Открыто,Humans inherently possess generalizable visual representations that empower them to efficiently explore and interact with the environments in manipulation tasks. We advocate that such a representation automatically arises from simultaneously learning about multiple simple perceptual skills that are critical for everyday scenarios (e.g.; hand detection; state estimate; etc.) and is better suited for learning robot manipulation policies compared to current state-of-the-art visual representations purely based on self-supervised objectives. We formalize this idea through the lens of human-oriented multi-task fine-tuning on top of pre-trained visual encoders; where each task is a perceptual skill tied to human-environment interactions. We introduce Task Fusion Decoder as a plug-and-play embedding translator that utilizes the underlying relationships among these perceptual skills to guide the representation learning towards encoding meaningful structure for what’s important for all perceptual skills; ultimately empowering learning of downstream robotic manipulation tasks. Extensive experiments across a range of robotic tasks and embodiments; in both simulations and real-world environments; show that our Task Fusion Decoder consistently improves the representation of three state-of-the-art visual encoders including R3M; MVP; and EgoVLP; for downstream manipulation policy-learning. More demos; datasets; models; and code can be found at <>.
Dynamic On-Palm Manipulation via Controlled Sliding,William Yang; Michael Posa,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p012.pdf,,Открыто,Non-prehensile manipulation enables fast interactions with objects by circumventing the need to grasp and ungrasp as well as handling objects that cannot be grasped through force closure. Current approaches to non-prehensile manipulation focus on static contacts; avoiding the underactuation that comes with sliding. However; the ability to control sliding contact; essentially removing the no-slip constraint; opens up new possibilities in dynamic manipulation. In this paper; we explore a challenging dynamic non-prehensile manipulation task that requires the consideration of the full spectrum of hybrid contact modes. We leverage recent methods in contact-implicit MPC to handle the multi-modal planning aspect of the task. We demonstrate; with careful consideration of integration between the simple model used for MPC and the low-level tracking controller; how contact-implicit MPC can be adapted to dynamic tasks. Surprisingly; despite the known inaccuracies of frictional rigid contact models; our method is able to react to these inaccuracies while still quickly performing the task. Moreover; we do not use common aids such as reference trajectories or motion primitives; highlighting the generality of our approach. To the best of our knowledge; this is the first application of contact-implicit MPC to a dynamic manipulation task in three dimensions.
Efficient Data Collection for Robotic Manipulation via Compositional Generalization,Jensen Gao; Annie Xie; Ted Xiao; Chelsea Finn; Dorsa Sadigh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p013.pdf,,Открыто,Data collection has become an increasingly important problem in robotic manipulation; yet there still lacks much understanding of how to effectively collect data to facilitate broad generalization. Recent works on large-scale robotic data collection typically vary many environmental factors of variation (e.g.; object types; table textures) during data collection; to cover a diverse range of scenarios. However; they do not explicitly account for the possible compositional abilities of policies trained on the data. If robot policies can compose environmental factors from their data to succeed when encountering unseen factor combinations; we can exploit this to avoid collecting data for situations that composition would address. To investigate this possibility; we conduct thorough empirical studies both in simulation and on a real robot that compare data collection strategies and assess whether visual imitation learning policies can compose environmental factors. We find that policies do exhibit composition; although leveraging prior robotic datasets is critical for this on a real robot. We use these insights to propose better in-domain data collection strategies that exploit composition; which can induce better generalization than naive approaches for the same amount of effort during data collection. We further demonstrate that a real robot policy trained on data from such a strategy achieves a success rate of 77.5% when transferred to entirely new environments that encompass unseen combinations of environmental factors; whereas policies trained using data collected without accounting for environmental variation fail to transfer effectively; with a success rate of only 2.5%. We provide videos at our project website http://iliad.stanford.edu/robot-data-comp/.
Demonstrating Learning from Humans on Open-Source Dexterous Robot Hands,Kenneth Shaw; Ananye Agarwal; Shikhar Bahl; Mohan Kumar Srirama; Alexandre Kirchmeyer; Aditya Kannan; Aravind Sivakumar; Deepak Pathak,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p014.pdf,,Открыто,Emulating human-like dexterity with robotic hands has been a long-standing challenge in robotics. In recent years; machine learning has demanded robot hands to be reliable; inexpensive and easy-to-reproduce. For the past few years we have been investigating how to address these demands. We will demonstrate our three robot hands that address this problem ranging from rigid easy-to-simulate hand to soft but strong dexterous robot hands performing three different machine learning tasks. Our first machine learning task will be teleoperation; where we will develop a new mobile arm and hand motion capture system that we will bring to RSS 2024. Second; we will demonstrate how to use human-video and human motion to teach robot hands. Finally; we will show how to continually improve these policies using reinforcement learning in both simulation and the real-world. This demo will be engaging; will serve to demystify dexterous manipulation and inspire researchers to bring robot hands into their own projects. Please see our website at https://leaphand.com/rss2024demo for more interactive information.
Reconciling Reality through Simulation: A Real-To-Sim-to-Real Approach for Robust Manipulation,Marcel Torne Villasevil; Anthony Simeonov; Zechu Li; April Chan; Tao Chen; Abhishek Gupta; Pulkit Agrawal,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p015.pdf,,Открыто,Imitation learning methods need significant human supervision to learn policies robust to changes in object poses; physical disturbances; and visual distractors. Reinforcement learning; on the other hand; can explore the environment autonomously to learn robust behaviors but may require impractical amounts of unsafe real-world data collection. To learn performant; robust policies without the burden of unsafe real-world data collection or extensive human supervision; we propose RialTo; a new system for robustifying real-world imitation learning policies via reinforcement learning in digital twin simulation environments constructed on the fly from small amounts of real-world data. To enable this real-to-sim-to-real pipeline; RialTo proposes an easy-to-use interface for quickly scanning and constructing digital twins of real-world environments. We also introduce a novel inverse distillation procedure for bringing real-world demonstrations into simulated environments for efficient fine-tuning; with minimal human intervention and engineering required. We evaluate RialTo across a variety of robotic manipulation problems in the real world; such as robustly stacking dishes on a rack; placing books on a shelf and four other tasks. RialTo increases (over 67%) in policy robustness without requiring extensive human data collection.
SAGE: Bridging Semantic and Actionable Parts for GEneralizable Articulated-Object Manipulation under Language Instructions,Haoran Geng; Songlin Wei; Congyue Deng; Bokui Shen; He Wang; Leonidas Guibas,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p016.pdf,,Открыто,To interact with daily-life articulated objects of diverse structures and functionalities; understanding the object parts plays a central role in both user instruction comprehension and task execution. However; the possible discordance between the semantic meaning and physics functionalities of the parts poses a challenge for designing a general system. To address this problem; we propose SAGE; a novel framework that bridges semantic and actionable parts of articulated objects to achieve generalizable manipulation under natural language instructions. More concretely; given an articulated object; we first observe all the semantic parts on it; conditioned on which an instruction interpreter proposes possible action programs that concretize the natural language instruction. Then; a part-grounding module maps the semantic parts into so-called Generalizable Actionable Parts (GAParts); which inherently carry information about part motion. End-effector trajectories are predicted on the GAParts; which; together with the action program; form an executable policy. Additionally; an interactive feedback module is incorporated to respond to failures; which closes the loop and increases the robustness of the overall framework. Key to the success of our framework is the joint proposal and knowledge fusion between a large vision-language model (VLM) and a small domain-specific model for both context comprehension and part perception; with the former providing general intuitions and the latter serving as expert facts. Both simulation and real-robot experiments show our effectiveness in handling a large variety of articulated objects with diverse language-instructed goals.
Demonstrating Event-Triggered Investigation and Sample Collection for Human Scientists using Field Robots and Large Foundation Models,Tirthankar Bandyopadhyay; Fletcher Talbot; Callum Bennie; Hashini Senaratne; Xun Li; Brendan Tidd; Mingze Xi; Jan Stiefel; Volkan Dedeoglu; Rod Taylor; Tea Molnar; Ziwei Wang; Josh Pinskier; Feng Xu; Lois Liow; Ben Burgess-Limerick; Jesse Haviland; Pavan Sikka; Simon Murrell; Jane Hodgkinson; Jiajun Liu; Fred Pauling; Stanislav Funiak,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p017.pdf,,Открыто,In this paper; we introduce a pioneering end-to-end system demonstrated on a team of robots and sensors; designed to augment scientific exploration and discovery for human scientists in remote or inaccessible environments. We demonstrate and analyse our system's capability in a mock-up test-bed scenario. In this futuristic hypothetical scenario human scientists located in a controlled lunar habitat; are assisted by a team of robots in investigating an unknown seismic phenomena like moon-quakes or meteor impact detected by a sensor network deployed on the lunar surface. They do so by autonomously collecting data; providing contextual semantic information and collecting scientific sample for future analysis upon the direction of humans. This work is among the earliest to present a feasible way to integration large foundational models (LFMs) into field robotic deployment; enabling easy semantic and contextual understanding of the objects in the environment and natural language-based interactions with the robot for the scientist. In addition we bring together state-of-the-art techniques in mapping; object detection; navigation; mobile manipulation; soft grippers; event detection and present details of the integration; insights and lessons learnt from the deployment.
CraterGrader: Autonomous Robotic Terrain Manipulation for Lunar Site Preparation and Earthmoving,Ryan Lee; Benjamin Younes; Alexander Pletta; John Harrington; Russell Q. Wong; William Whittaker,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p018.pdf,,Открыто,Establishing lunar infrastructure is paramount to long-term habitation on the Moon. To meet the demand for future lunar infrastructure development; we present CraterGrader; a novel system for autonomous robotic earthmoving tasks within lunar constraints. In contrast to the current approaches to construction autonomy; CraterGrader uses online perception for dynamic mapping of deformable terrain; devises an energy-efficient material movement plan using an optimization-based transport planner; precisely localizes without GPS; and uses integrated drive and tool control to manipulate regolith with unknown and non-constant geotechnical parameters. We demonstrate CraterGrader's ability to achieve unprecedented performance in autonomous smoothing and grading within a lunar-like environment; showing that this framework is capable; robust; and a benchmark for future planetary site preparation robotics.
POAM: Probabilistic Online Attentive Mapping for Efficient Robotic Information Gathering,Weizhe Chen; Lantao Liu; Roni Khardon,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p019.pdf,,Открыто,Gaussian Process (GP) models are widely used for Robotic Information Gathering (RIG) in exploring unknown environments due to their ability to model complex phenomena with non-parametric flexibility and accurately quantify prediction uncertainty. Previous work has developed informative planners and adaptive GP models to enhance the data efficiency of RIG by improving the robot’s sampling strategy to focus on informative regions in non-stationary environments. However; computational efficiency becomes a bottleneck when using GP models in large-scale environments with limited computational resources. We propose a framework – Probabilistic Online Attentive Mapping (POAM) – that leverages the modeling strengths of the non-stationary Attentive Kernel while achieving constant-time computational complexity for online decision-making. POAM guides the optimization process via variational Expectation Maximization; providing constant-time update rules for inducing inputs; variational parameters; and hyperparameters. Extensive experiments in active bathymetric mapping tasks demonstrate that POAM significantly improves computational efficiency; model accuracy; and uncertainty quantification capability compared to existing online sparse GP models.
Blending Data-Driven Priors in Dynamic Games,Justin Lidard; Haimin Hu; Asher Hancock; Zixu Zhang; Albert Gimo Contreras; Vikash Modi; Jonathan DeCastro; Deepak Gopinath; Guy Rosman; Naomi Leonard; Maria Santos; Jaime FernÃ¡ndez Fisac,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p020.pdf,,Открыто,As intelligent robots like autonomous vehicles become increasingly deployed in the presence of people; the extent to which these systems should leverage model-based game-theoretic planners versus data-driven policies for safe; interaction-aware motion planning remains an open question. Existing dynamic game formulations assume all agents are task-driven and behave optimally. However; in reality; humans tend to deviate from the decisions prescribed by these models; and their behavior is better approximated under a noisy-rational paradigm. In this work; we investigate a principled methodology to blend a data-driven reference policy with an optimization-based game-theoretic policy. We formulate KLGame; a type of non-cooperative dynamic game with Kullback-Leibler (KL) regularization with respect to a general; stochastic; and possibly multi-modal reference policy. Our method incorporates; for each decision maker; a tunable parameter that permits modulation between task-driven and data-driven behaviors. We propose an efficient algorithm for computing multimodal approximate feedback Nash equilibrium strategies of KLGame in real time. Through a series of simulated and real-world autonomous driving scenarios; we demonstrate that KLGame policies can more effectively incorporate guidance from the reference policy and account for noisily-rational human behaviors versus non-regularized baselines.
